MATRIX_NAME=INDSATSUNDERTYPE_LOVHENVISNING;;;;;;
MATRIX_DIMENSIONS=3;;;;;;
MATRIX_CELLTYPE=STRING;;;;;;
MATRIX_XTYPE=STRING;;;;;;
MATRIX_YTYPE=MEDDELSES_TYPE;;;;;;
MATRIX_ZTYPE=INDSATS_UNDER_TYPE;;;;;;
MATRIX_USE_DEFAULT=NO;;;;;;
MATRIX_DEFAULT=false;;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;;
;;*;FFEJDSK;LIERHVE;SGVOKSU;Lønindholdelsesgebyr
KREDITOPLYSBUREAU;VARSELINDBERETNINGKREDITOPLYSNINGSBUREAU;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
KREDITOPLYSBUREAU;MEDDELELSEINDBERETNINGKREDITOPLYSNINGSBUREAU;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
HENSTAND_IKKE_KLAGEBETINGET;*;Lov om opkrævning og inddrivelse af gæld til det offentlige § 3, stk. 2;-;-;-;-
HENSTAND_KLAGEBETINGET;*;Lov om opkrævning og inddrivelse af gæld til det offentlige § 3, stk. 3;-;-;-;-
HENSTAND_SAERSKILT;*;Lov om opkrævning og inddrivelse af gæld til det offentlige § 3, stk. 4;-;-;-;-
ERKEND_FORDRING;*;Lov nr 522 af 6/6-07, kapitel 5, §.......;-;-;-;-
FRIVILLIG_BETALINGSORDNING;*;§ 5 bekendtgørelse nr. 1365 af 19.12.2008 ;-;-;-;-
KULANCEAFTALE;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
BOBEHANDLING_GAELDSANERINGSSAG;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
BOBEHANDLING_EFTERGIVELSESSAG;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
BOBEHANDLING_KREDITORORDNING;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
TVUNGEN_BETALINGSORDNING;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
TVUNGEN_BETALINGSORDNING_UNDER_PROTEST;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
SAERSKILT_BETALINGSORDNING_TVUNGEN;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
SAERSKILT_BETALINGSORDNING_TVUNGEN_UNDER_PROTEST;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
