MATRIX_NAME=FJERN_FORDRING_FRA_INDSATS;;;;;;;;;;;;;
MATRIX_DIMENSIONS=2;;;;;;;;;;;;;
MATRIX_CELLTYPE=BOOLEAN;;;;;;;;;;;;;
MATRIX_XTYPE=INDSATS_UNDER_TYPE;;;;;;;;;;;;;
MATRIX_YTYPE=INDSATS_UNDER_TYPE;;;;;;;;;;;;;
MATRIX_ZTYPE=null;;;;;;;;;;;;;
MATRIX_USE_DEFAULT=NO;;;;;;;;;;;;;
MATRIX_DEFAULT=false;;;;;;;;;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;;;;;;;;;
;;DOEDSBO;EFTERGIVELSE;GAELDSSANERING;KREDITORORDNING;TVANGSOPLOESNING;INDGIVELSE_AF_KONKURSBEGAERING;KONKURS_PERSONLIG;KONKURS_SELSKABER;REKONSTRUKTION;HENSTAND_IKKE_KLAGEBETINGET;HENSTAND_KLAGEBETINGET;HENSTAND_SAERSKILT
;DOEDSBO;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ
;EFTERGIVELSE;JA;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ
;GAELDSSANERING;JA;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ
;KREDITORORDNING;JA;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ
;TVANGSOPLOESNING;JA;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ
;INDGIVELSE_AF_KONKURSBEGAERING;JA;NEJ;NEJ;NEJ;JA;NEJ;JA;NEJ;JA;NEJ;NEJ;NEJ
;KONKURS_PERSONLIG;JA;NEJ;NEJ;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ;NEJ;NEJ
;KONKURS_SELSKABER;JA;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ
;REKONSTRUKTION;JA;NEJ;NEJ;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ;NEJ;NEJ
;HENSTAND_IKKE_KLAGEBETINGET;JA;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;JA
;HENSTAND_KLAGEBETINGET;JA;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ
;HENSTAND_SAERSKILT;JA;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ
