MATRIX_NAME=OPGAVETYPE;;
MATRIX_DIMENSIONS=2;;
MATRIX_CELLTYPE=INTEGER;;
MATRIX_XTYPE=OPGAVETYPE;;
MATRIX_YTYPE=OpgavetypeID;;
MATRIX_ZTYPE=null;;
MATRIX_USE_DEFAULT=NO;;
MATRIX_DEFAULT=false;;
MATRIX_EMPTY_CELL_SIGN=-;;
;;OpgavetypeID
;KREDITOPLYSNINGSBUREAU_OPGAVETYPE_VARSEL_OM_INDBERETNING;1
;KREDITOPLYSNINGSBUREAU_OPGAVETYPE_MEDDELELSE_OM_INDBERETNING;2
;KREDITOPLYSNINGSBUREAU_OPGAVETYPE_ANGIV_FUNDAMENTDATO;3
;HENSTAND_OPGAVETYPE_HENSTAND_BEVILGET;4
;HENSTAND_OPGAVETYPE_HENSTAND_AENDR_UDLOEB;5
;HENSTAND_OPGAVETYPE_HENSTAND_OPHOER;6
;HENSTAND_OPGAVETYPE_HENSTAND_MANUEL_UDREDNING;7
;HENSTAND_OPGAVETYPE_HENSTAND_GENSEND;8
;UDLAEG_OPGAVETYPE_VAELG_ADRESSE_TILSIG_ENKELTMANDSVIRKSOMHED_MANUELT;9
;UDLAEG_OPGAVETYPE_SEND_ANMODNING_POLITIEFTERSOEGNING;10
;UDLAEG_OPGAVETYPE_ADRESSE_AENDRET_EFTERSOEGT_KUNDE;11
;UDLAEG_OPGAVETYPE_TILSIGELSE_UDLAEGSFORRETNING;12
;UDLAEG_OPGAVETYPE_UDLAEGSFORRETNING_FOGED;13
;UDLAEG_OPGAVETYPE_UDLAEGSFORRETNING_KUNDE;14
;UDLAEG_OPGAVETYPE_UDLAEGSFORRETNING_KUNDE_OPFOELGNING_EJ_GENNEMFOERT_UDLAEG;15
;UDLAEG_OPGAVETYPE_UDLAEGSFORRETNING_FOGED_VEDR_FORTRINSBERETTIGEDE_FORDRINGER;16
;UDLAEG_OPGAVETYPE_RYK_ADMINISTRATOR_ADKOMSTERKLAERING;17
;UDLAEG_OPGAVETYPE_ANMOD_FORLAENGELSE_FRIST_VEDR_TINGLYSNING_ANDELSBOLIG;18
;UDLAEG_OPGAVETYPE_VURDER_SVAR_TINGLYSNING;19
;UDLAEG_OPGAVETYPE_FORAELDER_SNART;20
;UDLAEG_OPGAVETYPE_AKTIV_FORAELDET;21
;UDLAEG_OPGAVETYPE_UDLAEG_AFSLUTTET_AUTOMATISK;22
;UDLAEG_OPGAVETYPE_UDLAEG_MANUEL_UDREDNING;
;RYKKER_OPGAVETYPE_BOOK_RESSOURCE;23
;ÿLOENINDEHOLDELSE_OPGAVETYPE_SAGSBEHANDLER_TIL_VURDERING_AF_YDERLIGERE_INDRIVELSE;24
;LOENINDEHOLDELSE_OPGAVETYPE_SAGSBEHANDLER_TIL_OPFOELGNING_PAA_LOENINDEHOLDELSE;25
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELSE_OM_FORHOEJET_LOENINDEHOLDELSESPROCENT;26
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELSE_OM_GENOPTAG_LOENINDEHOLDELSE;27
;LOENINDEHOLDELSE_OPGAVETYPE_VARSEL_OM_STIGNING_AF_LOENINDEHOLDELSE;28
;LOENINDEHOLDELSE_OPGAVETYPE_IVAERKSAET_STIGNING_AF_LOENINDEHOLDELSE;29
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELSE_OM_NEDSAETTELSE_AF_LOENINDEHOLDELSESPROCENT;30
;LOENINDEHOLDELSE_OPGAVETYPE_ANMOD_KUNDE_OM_LOENOPLYSNINGER;31
;LOENINDEHOLDELSE_OPGAVETYPE_NEDSAET_LOENINDEHOLDELSE;32
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELESE_OM_YDERLIGERE_FORDRING;33
;LOENINDEHOLDELSE_OPGAVETYPE_SAGSBEHANDLER_TIL_FORSKUDSREGISTRERING;34
;LOENINDEHOLDELSE_OPGAVETYPE_VARSLING_FOR_LOENINDEHOLDELSE;35
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELSE_OM_IVAERKSAET_LOENINDEHOLDELSE;36
