MATRIX_NAME=HAEFTELSESFORMER_IGANGVAERENDE;;;;;;;;;;;;
MATRIX_DIMENSIONS=2;;;;;;;;;;;;
MATRIX_CELLTYPE=BOOLEAN;;;;;;;;;;;;
MATRIX_XTYPE=INDSATS_TYPE;;;;;;;;;;;;
MATRIX_YTYPE=HAEFTELSESFORM;;;;;;;;;;;;
MATRIX_ZTYPE=null;;;;;;;;;;;;
MATRIX_USE_DEFAULT=NO;;;;;;;;;;;;
MATRIX_DEFAULT=false;;;;;;;;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;;;;;;;;
;;KREDITOPLYSBUREAU;HENSTAND;LOENINDEHOLDESE;UDLAEG;ERKEND_FORDRING;RYKKER;BETALINGSORDNING;BOBEHANDLING;MANUEL_SAGSBEHANDLING;BOEDEFORVANDLINGSSTRAF;KUNDEMOEDE
Subsidær hæftelse - potentiel;POT;false;false;false;false;false;false;false;false;false;false;false
Subsidær hæftelse - reel;REL;true;false;false;true;false;false;false;false;false;false;false
Subsidær hæftelse - reel med sikkerhed;RELS;-;false;false;true;false;false;false;false;false;false;false
Subsidær hæftelse - potentiel med sikkerhed;POTS;-;false;false;true;false;false;false;false;false;false;false
Subsidær hæftelse - sikkerhed - samlivsophævelse;SSLO;-;false;false;true;false;false;false;false;false;false;false
Subsidær hæftelse - sikkerhed - ægtefælle gældssaneret;SÆGS;-;false;false;true;false;false;false;false;false;false;false
Subsidær hæftelse - sikkerhed - anden;SAND;-;false;false;true;false;false;false;false;false;false;false
;PRO;true;false;false;true;false;false;false;false;false;false;false
;SOL;true;false;false;true;false;false;false;false;false;false;false
;AND;true;false;false;true;false;false;false;false;false;false;false
;ALM;true;false;false;true;false;false;false;false;false;false;false
