MATRIX_NAME=HAEFTELSESFORMER_IVAERKSAETTELSE;;;;;;;;;;;;
MATRIX_DIMENSIONS=2;;;;;;;;;;;;
MATRIX_CELLTYPE=BOOLEAN;;;;;;;;;;;;
MATRIX_XTYPE=INDSATS_TYPE;;;;;;;;;;;;
MATRIX_YTYPE=HAEFTELSESFORM;;;;;;;;;;;;
MATRIX_ZTYPE=null;;;;;;;;;;;;
MATRIX_USE_DEFAULT=NO;;;;;;;;;;;;
MATRIX_DEFAULT=false;;;;;;;;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;;;;;;;;
;;KREDITOPLYSBUREAU;HENSTAND;LOENINDEHOLDESE;UDLAEG;ERKEND_FORDRING;RYKKER;BETALINGSORDNING;BOBEHANDLING;MANUEL_SAGSBEHANDLING;BOEDEFORVANDLINGSSTRAF;KUNDEMOEDE
Subsidær hæftelse - potentiel;POT;false;true;false;false;true;false;true;-;-;false;true
Subsidær hæftelse - reel;REL;false;true;false;true;true;true;true;-;-;false;true
Subsidær hæftelse - reel med sikkerhed;RELS;false;true;false;true;true;true;true;-;-;false;true
Subsidær hæftelse - potentiel med sikkerhed;POTS;false;true;false;false;true;true;true;-;-;false;true
Subsidær hæftelse - sikkerhed - samlivsophævelse;SSLO;false;-;false;false;true;true;true;-;-;false;true
Subsidær hæftelse - sikkerhed - ægtefælle gældssaneret;SÆGS;false;-;false;false;true;true;true;-;-;false;true
Subsidær hæftelse - sikkerhed - anden;SAND;false;-;false;false;true;true;true;-;-;false;true
;PRO;true;true;true;true;true;true;true;-;-;false;true
;SOL;true;true;true;true;true;true;true;-;-;false;true
;AND;true;true;true;true;true;true;true;-;-;false;true
;ALM;true;true;true;true;true;true;true;-;-;false;true
