MATRIX_NAME=BETALINGSEVNE_SKEMATISKMODEL;;;
MATRIX_DIMENSIONS=2;;;
MATRIX_CELLTYPE=BIGDECIMAL;;;
MATRIX_XTYPE=FORSOERGER;;;
MATRIX_YTYPE=INTERVAL;;;
MATRIX_ZTYPE=null;;;
MATRIX_USE_DEFAULT=NO;;;
MATRIX_DEFAULT=false;;;
MATRIX_EMPTY_CELL_SIGN=-;;;
;;FORSOERGER;IKKE_FORSOERGER
;85000#105999 ;0;5
;106000#111999 ;4;6
;112000#117999 ;4;7
;118000#123999 ;4;8
;124000#129999 ;4;9
;130000#135999 ;5;10
;136000#141999 ;6;11
;142000#147999 ;7;12
;148000#153999 ;8;13
;154000#159999 ;9;14
;160000#165999 ;10;15
;166000#171999;11;16
;172000#177999;12;17
;178000#183999;13;18
;184000#189999;14;19
;190000#195999;15;20
;196000#201999;16;21
;202000#207999;17;22
;208000#213999;18;23
;214000#219999;19;24
;220000#225999;20;25
;226000#231999;21;26
;232000#237999;22;27
;238000#243999;23;28
;244000#249999;24;29
;250000#255999;25;30
;256000#261999;26;30
;262000#267999;28;30
;268000#273999;29;30
;274000#999999999999;30;30
