EFI Fordringstypekode;Fortrinsberettiget;DMIFordringTypeKategori;DMIFordringKlasse
AFGDÆKN;false;HF;3
AFTILLÆ;false;HF;3
BØADMIN;false;HF;3
BØASKAT;false;HF;3
BØBVMEA;false;HF;3
BØBØDIC;false;HF;3
BØBØKON;false;HF;3
BØDAGBØ;false;HF;3
BØFOLKE;false;HF;3
BØGRØNL;false;HF;3
BØNORDI;false;HF;3
BØPÅLAG;false;HF;3
BØPÅLVD;false;HF;3
BØSKATK;false;HF;3
BØTVPLL;false;HF;3
BØULOSH;false;HF;3
CFCIVIL;false;HF;3
CFOMKCK;false;HF;3
DAFRIAF;false;HF;3
DAGAVEA;false;HF;3
DAKAPIT;false;HF;3
DAKONTR;false;HF;3
DAKONTT;false;HF;3
DAOPHÆV;false;HF;3
DAPAFGI;false;HF;3
DAPAFGR;false;HF;3
DAPROCE;false;HF;3
DAREALR;false;HF;3
DAREGMK;false;HF;3
DARÅVEJ;false;HF;3
DASTEMP;false;HF;3
DATIMKØ;false;HF;3
DATINGL;false;HF;3
DAVÆGTA;false;HF;3
DBFOLKF;false;HF;3
DFAFFIS;false;HF;3
DFAFFØD;false;HF;3
DFAKTIE;false;HF;3
DFBØRMV;false;HF;3
DFDEGSO;false;HF;3
DFDGMMA;false;HF;3
DFDOMMA;false;HF;3
DFEFBNI;false;HF;3
DFEFMER;false;HF;3
DFERSTA;false;HF;3
DFFAKTV;false;HF;3
DFFMTDI;false;HF;3
DFFMUDL;false;HF;3
DFFMUPE;false;HF;3
DFFORBR;false;HF;3
DFFOUDL;false;HF;3
DFGAFLL;false;HF;3
DFGAFPL;false;HF;3
DFGTAOM;false;HF;3
DFGTAOU;false;HF;3
DFHUSLE;false;HF;3
DFINBIN;false;HF;3
DFINBEU;false;HF;3
DFINDFI;false;HF;3
DFKOMPG;false;HF;3
DFKONFI;false;HF;3
DFKVSUG;false;HF;3
DFMDEGS;false;HF;3
DFMIBUB;false;HF;3
DFOPHOL;false;HF;3
DFPFFER;false;HF;3
DFPFMLG;false;HF;3
DFPFOHK;false;HF;3
DFREAHU;false;HF;3
DFREPAT;false;HF;3
DFSPILD;false;HF;3
DFTILLÆ;false;HF;3
DFTIPNI;false;HF;3
DFUDAFG;false;HF;3
DFURETF;false;HF;3
DFVANDL;false;HF;3
DGASAMB;false;HF;3
DGBLYAK;false;HF;3
DGEKSPE;false;HF;3
DGGEGSP;false;HF;3
DGGPDÆK;false;HF;3
DGLEVNE;false;HF;3
DGMILJØ;false;HF;3
DGVURDE;false;HF;3
DOADVOM;false;HF;3
DOSAGSO;false;HF;3
DSAKTIE;false;HF;3
DSAKTTK;false;HF;3
DSDØDSB;false;HF;3
DSEJEAV;false;HF;3
DSEJEVÆ;false;HF;3
DSEUREN;false;HF;3
DSFONDS;false;HF;3
DSKULBR;false;HF;3
DSKURSG;false;HF;3
DSMIDPE;false;HF;3
DSPENBS;false;HF;3
DSPENSA;false;HF;3
DSPENSK;false;HF;3
DSREJDV;false;HF;3
DSRENTE;false;HF;3
DSROYAL;false;HF;3
DSSFOND;false;HF;3
DSSKULB;false;HF;3
DSSÆRPE;false;HF;3
DSUDBYT;false;HF;3
DSUREOS;false;HF;3
DAAEOGS;false;HF;3
DAAFSON;false;HF;1
DAAKTIE;false;HF;3
DAARVEA;false;HF;3
FAUBMDP;false;HF;3
FFBOLOP;true;HF;3
FFBYGGB;true;HF;3
FFBYGTL;true;HF;3
FFEJDSK;true;HF;3
FFFKVUD;true;HF;3
FFRENHV;true;HF;3
FFRENOV;false;HF;3
FFROTTE;true;HF;3
FFVEJVL;true;HF;3
FOANKRF;false;HF;3
FOBORAH;true;HF;3
FOBORAV;false;HF;3
FOBØDFO;false;HF;3
FOEGVFT;false;HF;3
FOEGVVE;true;HF;3
FOERSFO;false;HF;3
FOKONFO;false;HF;3
FOOMKFO;true;HF;3
FOROTFO;true;HF;3
FOROTÅR;true;HF;3
FOSAGFO;false;HF;3
FOSKOBR;true;HF;3
FOSPATV;false;HF;3
FOSTATA;false;HF;3
FOVAFTV;false;HF;3
FRGÆTKO;true;HF;3
FUDIVER;false;HF;3
FULØNIN;false;HF;3
FUMODRE;false;HF;3
FAAOUYD;false;HF;3
GEAFGOP;false;OG;3
GEBETAL;false;IG;3
GEGEBEJ;false;OG;3
GEINDDR;false;IG;3
GELOENI;false;IG;3
GEOPKRÆ;false;OG;3
GERYKKE;false;OG;3
GETILSI;false;IG;3
KFBEBOE;false;HF;3
KFBEREG;false;HF;3
KFBILLÅ;false;HF;3
KFBOLIN;false;HF;3
KFBOLYD;false;HF;3
KFBOLÅN;false;HF;3
KFBOSIK;false;HF;3
KFBØFYD;false;HF;3
KFBÅDPL;false;HF;3
KFDAGIN;false;HF;3
KFFLYTT;false;HF;3
KFFMTPB;false;HF;3
KFFMUBT;false;HF;3
KFFORUS;false;HF;3
KFGÆTKM;false;HF;3
KFGÆTKO;false;HF;3
KFGÆTKU;false;HF;3
KFHJEHJ;false;HF;3
KFKAUTI;false;HF;3
KFKIRKE;false;HF;3
KFLABPR;false;HF;3
KFLOASO;false;HF;3
KFMADLE;false;HF;3
KFMUSIK;false;HF;3
KFPLEJE;false;HF;3
KFRENOV;false;HF;3
KFSERVL;false;HF;3
KFSKOLF;false;HF;3
KFSKROT;false;HF;3
KFSPILL;false;HF;3
KFTILIN;false;HF;3
KFUDDLÅ;false;HF;3
KFUDLEJ;false;HF;3
KFUREBI;false;HF;3
KFURSDP;false;HF;3
KFVEJBE;false;HF;3
KTBRUTT;false;HF;3
KTKTDOM;false;HF;3
KTNETTO;false;HF;3
LIERHVE;false;HF;3
LIMEDIE;false;HF;3
DFKFUBI;false;HF;3
DFKFEUB;false;HF;3
DFGÆLST;false;HF;3
DFGÆLKO;false;HF;3
DFFMBFY;false;HF;3
OMINKAS;false;HF;3
OMKFORT;true;HF;3
PAMINFO;false;HF;3
PABKMDL;false;HF;3
PABLYAK;false;HF;3
PABRSTF;false;HF;3
PACFCHF;false;HF;3
PACHOKO;false;HF;3
PACIGAR;false;HF;3
PACIGPP;false;HF;3
PACOBEN;false;HF;3
PACOAEL;false;HF;3
PACOANA;false;HF;3
PACOAOG;false;HF;3
PACOAVA;false;HF;3
PADTSPK;false;HF;3
PAEFLAN;false;HF;3
PAEMBBP;false;HF;3
PAEMBVA;false;HF;3
PAENEOG;false;HF;3
PAENSER;false;HF;3
PAFLYRE;false;HF;3
PAGLØDL;false;HF;3
PAGVSSP;false;HF;3
PAKAFFE;false;HF;3
PAKASIN;false;HF;3
PAKLOPM;false;HF;3
PAKONIS;false;HF;3
PAKULVA;false;HF;3
PAKVÆLS;false;HF;3
PALEDNV;false;HF;3
PALOTGV;false;HF;3
PALUDOM;false;HF;3
PALYSTF;false;HF;3
PAMINVA;false;HF;3
PANICAB;false;HF;3
PAPVCFO;false;HF;3
PAPVCFT;false;HF;3
PARÅSTF;false;HF;3
PASPIRI;false;HF;3
PASPLDV;false;HF;3
PASVOVL;false;HF;3
PATOTAL;false;HF;3
PAVINFR;false;HF;3
POANDEP;false;HF;3
POBØDFI;false;HF;3
POBØDGR;false;HF;3
POBØDIS;false;HF;3
POBØDNO;false;HF;3
POBØDNP;false;HF;3
POBØDPO;false;HF;1
POBØDSV;false;HF;3
POERSAN;false;HF;3
POERSPO;false;HF;1
POERSRP;false;HF;3
POKONPO;false;HF;1
POMILIT;false;HF;3
POSAGPO;false;HF;1
POSKABØ;false;HF;3
POSKAPO;false;HF;1
POTOLAF;false;HF;3
POTVAPO;false;HF;1
POVANDY;false;HF;3
PSACARB;false;HF;3
PSARBMB;false;HF;3
PSARBRE;false;OR;3
PSARBGE;false;OG;3
PSBSKAT;false;HF;3
PSBSKRE;false;OR;3
PSFOREA;false;HF;3
PSRESTS;false;HF;3
PSRESRE;false;OR;3
PSSÆRLI;false;HF;3
PSSØMAN;false;HF;3
PSTILLÆ;false;HF;3
PAAAFØL;false;HF;3
PAAFFLD;false;HF;3
PAAFVOP;false;HF;3
PAANSMK;false;HF;3
PAANTIB;false;HF;3
REINDDR;false;IR;3
REOPKRÆ;false;OR;3
RERETEJ;false;HF;3
RETSAFG;false;HF;3
RFGÆTRM;false;HF;3
RFGÆTRU;false;HF;3
SFFORAG;false;HF;3
SFMISSL;false;HF;3
