MATRIX_NAME=INDSATSUNDERTYPE_OPGAVETYPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_DIMENSIONS=2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_CELLTYPE=BOOLEAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_XTYPE=STRING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_YTYPE=STRING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_ZTYPE=null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_USE_DEFAULT=NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_DEFAULT=false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;KREDITOPLYSNINGSBUREAU;UDLAEG;HENSTAND_IKKE_KLAGEBETINGET;HENSTAND_KLAGEBETINGET;HENSTAND_SAERSKILT;BOEDEFORVANDLSTRAF;LOENINDHOLDELSE;SAERSKILT_LOENINDHOLDELSE;PAAKRAVSSKRIVELSE;RYKKER_MED_GEBYR;RYKKER_UDEN_GEBYR;DOEDSBO;EFTERGIVELSE;GAELDSSANERING;TVANGSOPLOESNING;KREDITORORDNING;INDGIVELSE_AF_KONKURSBEGAERING;KONKURS_PERSONLIG;KONKURS_SELSKABER;REKONSTRUKTION;KUNDEMOEDE;FRIAFDR;KULANCE;BOGÆLSA;BOEFGSA;BOFRIAK;BOREKON;TVUAFDR;TVAFPRO;SBTVAD;SBTVAP;SBFRAD;SBKULA;AKTINDSIGT;ARREST;ANMELDELSE_AF_UDLAEG;CIVILRETLIGE_FORDRIGNER;AFSLAG_HENSTAND;HAANDPANT;INDDRAGELSE_AF_ERHVERVSREGISTRERING;KLAGE_AFVISNING;KLAGE_OVER_FORDRING;KLAGE_OVER_RIMS_AFGOERELSE;KLAGE_OVER_UDLAEG;RYKNINGSPAATEGNING;SKADESLOES_TRANSPORT;TVANGSSALG_ANDELSBOLIG;TVANGSSALG_DIVERSE;TVANGSSALG_FAST_EJENDOM;UDLAND;TELEFONINKASSO;MANUEL_SAGSBEHANDLING;ERKEND_FORDRING
;1;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;3;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;4;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;5;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;6;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;7;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;8;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;9;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;10;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;11;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
;12;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
