MATRIX_NAME=OPGAVETYPE;;;;
MATRIX_DIMENSIONS=2;;;;
MATRIX_CELLTYPE=INTEGER;;;;
MATRIX_XTYPE=OPGAVETYPE;;;;
MATRIX_YTYPE=OpgavetypeID;;;;
MATRIX_ZTYPE=null;;;;
MATRIX_USE_DEFAULT=NO;;;;
MATRIX_DEFAULT=false;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;
IndsatsTypeEnum;IndsatsParameterNavnEnum (Udviklernes navn);SKAT opgavetypenavn;EFIVaerdiTypeKode;DefaultValue
KREDITOPLYSBUREAU;KREDITOPLYSNINGSBUREAU_OPGAVETYPE_VARSEL_OM_INDBERETNING;KREDITOPLYSNINGSBUREAU_VARSEL_OM_INDBERETNING;1;
;KREDITOPLYSNINGSBUREAU_OPGAVETYPE_MEDDELELSE_OM_INDBERETNING;KREDITOPLYSNINGSBUREAU_MEDDELELSE_OM_INDBERETNING;2;
;KREDITOPLYSNINGSBUREAU_OPGAVETYPE_ANGIV_FUNDAMENTDATO;KREDITOPLYSNINGSBUREAU_ANGIV_FUNDAMENTDATO;3;
HENSTAND;HENSTAND_OPGAVETYPE_HENSTAND_BEVILGET;HENSTAND_BEVILGET;4;
;HENSTAND_OPGAVETYPE_HENSTAND_AENDR_UDLOEB;HENSTAND_AENDRE_UDLOEB;5;
;HENSTAND_OPGAVETYPE_HENSTAND_OPHOER;HENSTAND_OPHOER;6;
;HENSTAND_OPGAVETYPE_HENSTAND_MANUEL_UDREDNING;HENSTAND_MANUEL_UDREDNING;7;
;HENSTAND_OPGAVETYPE_HENSTAND_GENSEND;HENSTAND_GENSEND_MEDDELELSE;8;
UDLAEG;UDLAEG_OPGAVETYPE_VAELG_ADRESSE_TILSIG_ENKELTMANDSVIRKSOMHED_MANUELT;UDLAEG_VAELG_ADRESSE_TILSIG_ENKELTMANDSVIRKSOMHED_MANUELT;9;
;UDLAEG_OPGAVETYPE_SEND_ANMODNING_POLITIEFTERSOEGNING;UDLAEG_SEND_ANMODNING_POLITIEFTERSOEGNING;10;
;UDLAEG_OPGAVETYPE_ADRESSE_AENDRET_EFTERSOEGT_KUNDE;UDLAEG_ADRESSE_AENDRET_EFTERSOEGT_KUNDE;11;
