MATRIX_NAME=MYNDIGHEDUDBETALINGTYPE_KATEGORI;;;
MATRIX_DIMENSIONS=2;;;
MATRIX_CELLTYPE=STRING;;;
MATRIX_XTYPE=SINGLE_VALUE;;;
MATRIX_YTYPE=SYSTEM_PARAMETER;;;
MATRIX_ZTYPE=null;;;
MATRIX_USE_DEFAULT=NO;;;
MATRIX_DEFAULT=false;;;
MATRIX_EMPTY_CELL_SIGN=-;;;
;;K1;K2
;LØN;false;false
;PENS;false;true
;KNTH;false;false
;SDGP;false;false
;ADGP;false;false
;KSLD;false;false
;OVSK;false;false
;BOSI;false;false
;BOST;true;false
;BFMY;false;false
;BBID;false;false
;FERV;false;false
;KISL;false;false
;RELO;false;false
;SÆLØ;false;false
;FENK;false;false
;FESK;false;false
;OVAM;false;false
