MATRIX_NAME=HAEFTELSESFORMER_IGANGVÆRENDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_DIMENSIONS=2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_CELLTYPE=BOOLEAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_XTYPE=INDSATS_TYPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_YTYPE=HAEFTELSESFORM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_ZTYPE=null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_USE_DEFAULT=NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_DEFAULT=false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Kreditoplysningsbureau;Udlæg;Erkend Fordring;Bødeforvandling;Kundemøde;Henstand ikke klagebetinget;Henstand klagebetinget;Særskilt henstand;Særskilt lønindeholdelse;lønindeholdelse;Påkravsskrivelse;Rykker uden gebyr;Rykker med gebyr;Frivillig betalingsordning;Kulance;Gældssanering;Eftergivelsessag;Kreditorordning;Rekonstruktion;Tvungen betalingsordning;Betaling under protest ( tvungen );Særskilt betalingsordning ( tvungen );Særskilt betaling under protest ( tvungen );Særskilt betalingsordning - frivilling;Særskilt betalingsordning - kulance;Dødsbo;Eftergivelse;Gældssanering;Indgivelse af konkursbegæring    ;Konkurs personlig;Konkurs selskaber;Tvangsopløsning;Kreditorordning;Rekonstruktion ( erstatter  betalingsstands-ning og tvangsakkord );Aktindsigt ;Arrest ;Anmeldelse af Udlæg ;Civilretlige fordringer ;Afslag henstand;Håndpant ;Inddragelse af registrering ;Klage – afvisning ;Klage over fordring ;Klage over RIM’s Afgørelse ;Klage over udlæg ;Rykningspåtegning ;Skadesløs transport ;Tvangssalg - Andelsbolig ;Tvangssalg – Fast ejen-dom ;Tvangssalg - diverse ;Udland;Bødeforvanling straf;Øvrigt 
Subsidær hæftelse - potentiel;POT;false;false;true;false;true;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;false;true;true;true;false;false;false;false;false;false;false;false;true
Subsidær hæftelse - reel;REL;false;false;true;false;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true
Subsidær hæftelse - reel med sikkerhed;RELS;false;true;true;false;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true
Subsidær hæftelse - potentiel med sikkerhed;POTS;false;true;true;false;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true
Subsidær hæftelse - sikkerhed - samlivsophævelse;SSLO;false;true;true;false;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true
Subsidær hæftelse - sikkerhed - ægtefælle gældssaneret;SÆGS;false;true;true;false;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true
Subsidær hæftelse - sikkerhed - anden;SAND;false;true;true;false;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true
pro rata;PRO;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true
solidarisk;SOL;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true
andet;AND;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true
alm. hæftelse;ALM;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
