MATRIX_NAME=FORDRINGSART_INDSATSUNDERTYPE;;;;;
MATRIX_DIMENSIONS=2;;;;;
MATRIX_CELLTYPE=BOOLEAN;;;;;
MATRIX_XTYPE=FORDRINGS_ART;;;;;
MATRIX_YTYPE=STRING;;;;;
MATRIX_ZTYPE=null;;;;;
MATRIX_USE_DEFAULT=NO;;;;;
MATRIX_DEFAULT=false;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;
;;OPKR;INDR;MODR;TRAN
;KREDITOPLYSNINGSBUREAU;false;true;false;false
;UDLAEG;true;true;false;false
;AKTINDSIGT;true;true;true;true
;ARREST;true;true;true;true
;ANMELDELSE_AF_UDLAEG;true;true;true;true
;CIVILRETLIGE_FORDRINGER;true;true;true;true
;AFSLAG_HENSTAND;true;true;true;true
;HAANDPANT;true;true;true;true
;INDRAGELSE_AF_ERHVERVSREGISTRERING;true;true;true;true
;KLAGE_AFVISNING;true;true;true;true
;KLAGE_OVER_FORDRING;true;true;true;true
;KLAGE_OVER_RIMS_AFGOERELSE;true;true;true;true
;KLAGE-OVER-UDLAEG;true;true;true;true
;RYKNINGSPAATEGNING;true;true;true;true
;SKADESLOES_TRANSPORT;true;true;true;true
;TVANGSSALG_ANDELSBOLIG;true;true;true;true
;TVANGSSALG_DIVERSE;true;true;true;true
;TVANGSSALG_FAST_EJENDOM;true;true;true;true
;UDLAND;true;true;true;true
;TELEFONINKASSO;true;true;true;true
;MANUEL_SAGSBEHANDLING;true;true;true;true
;HENSTAND_IKKE_KLAGEBETINGET;true;true;false;false
;HENSTAND_KLAGEBETINGET;true;true;false;false
;HENSTAND_SAERSKILT;false;true;false;false
;ERKEND_FORDRING;true;true;false;false
;FRIAFDR;true;true;false;false
;KULANCE;false;true;false;false
;BOGÆLSA;false;true;false;false
;BOEFGSA;false;true;false;false
;BOFRIAK;false;true;false;false
;BOREKON;false;true;false;false
;TVUAFDR;false;true;false;false
;TVAFPRO;false;true;false;false
;SBTVAD;false;true;false;false
;SBTVAP;false;true;false;false
;SBFRAD;false;true;false;false
;SBKULA;false;true;false;false
;BOEDEFORVANDLSTRAF;false;true;false;false
;LOENINDEHOLDELSE;false;true;false;false
;SAERSKILT_LOENINDEHOLDELSE;false;true;false;false
;PAAKRAVSSKRIVELSE;true;true;false;false
;RYKKER_MED_GEBYR;false;true;false;false
;RYKKER_UDEN_GEBYR;false;true;false;false
;DOEDSBO;false;true;false;false
;EFTERGIVELSE;false;true;false;false
;GAELDSSANERING;false;true;false;false
;TVANGSOPLOESNING;false;true;false;false
;INDGIVELSE_AF_KONKURSBEGAERING;false;true;false;false
;KONKURS_PERSONLIG;false;true;false;false
;KONKURS_SELSKABER;false;true;false;false
;REKONSTRUKTION;false;true;false;false
;KREDITORORDNING;false;true;false;false
;KUNDEMOEDE;true;true;true;true
;BOEDEFORVANDLSTRAF_MANUEL;false;true;false;false
