MATRIX_NAME=INDSATSUNDERTYPE_INDSATSUNDERTYPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_DIMENSIONS=2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_CELLTYPE=BOOLEAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_XTYPE=STRING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_YTYPE=STRING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_ZTYPE=null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_USE_DEFAULT=NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_DEFAULT=false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;KREDITOPLYSNINGSBUREAU;UDLAEG;HENSTAND_IKKE_KLAGEBETINGET;HENSTAND_KLAGEBETINGET;HENSTAND_SAERSKILT;BOEDEFORVANDLSTRAF;LOENINDEHOLDELSE;SAERSKILT_LOENINDEHOLDELSE;PAAKRAVSSKRIVELSE;RYKKER_MED_GEBYR;RYKKER_UDEN_GEBYR;DOEDSBO;EFTERGIVELSE;GAELDSSANERING;TVANGSOPLOESNING;KREDITORORDNING;INDGIVELSE_AF_KONKURSBEGAERING;KONKURS_PERSONLIG;KONKURS_SELSKABER;REKONSTRUKTION;KUNDEMOEDE;FRIAFDR;KULANCE;BOGÆLSA;BOEFGSA;BOFRIAK;BOREKON;TVUAFDR;TVAFPRO;SBTVAD;SBTVAP;SBFRAD;SBKULA;AKTINDSIGT;ARREST;ANMELDELSE_AF_UDLAEG;CIVILRETLIGE_FORDRIGNER;AFSLAG_HENSTAND;HAANDPANT;INDDRAGELSE_AF_ERHVERVSREGISTRERING;KLAGE_AFVISNING;KLAGE_OVER_FORDRING;KLAGE_OVER_RIMS_AFGOERELSE;KLAGE_OVER_UDLAEG;RYKNINGSPAATEGNING;SKADESLOES_TRANSPORT;TVANGSSALG_ANDELSBOLIG;TVANGSSALG_DIVERSE;TVANGSSALG_FAST_EJENDOM;UDLAND;TELEFONINKASSO;MANUEL_SAGSBEHANDLING;ERKEND_FORDRING;BOEDEFORVANDLSTRAF_MANUEL
;KREDITOPLYSNINGSBUREAU;false;true;true;true;true;false;true;true;true;true;true;true;true;true;false;true;false;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false
;UDLAEG;true;false;true;true;true;false;true;true;false;true;true;true;true;true;false;true;false;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false
;HENSTAND_IKKE_KLAGEBETINGET;false;false;false;false;false;false;false;true;false;false;false;true;true;true;false;true;false;true;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;true;false;true;false;true;true;true;true;true;true;true;true;true;false;false;true;false;false
;HENSTAND_KLAGEBETINGET;false;true;false;false;false;false;false;true;false;false;false;true;true;true;false;true;false;true;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false
;HENSTAND_SAERSKILT;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;true;false;true;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;true;false;true;false;true;true;true;true;true;true;true;true;true;false;false;true;false;false
;BOEDEFORVANDLSTRAF;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;false;true;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;true;false;false;true;true;true;true;true;false;false;false;false;false;false;true;true;false
;LOENINDEHOLDELSE;false;true;true;true;false;false;false;true;false;false;false;true;true;true;true;true;false;true;false;true;true;false;false;false;false;false;false;false;false;true;true;true;true;true;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false
;SAERSKILT_LOENINDEHOLDELSE;false;true;false;true;true;false;false;false;false;false;false;true;true;true;true;true;false;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false
;PAAKRAVSSKRIVELSE;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false
;RYKKER_MED_GEBYR;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false
;RYKKER_UDEN_GEBYR;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false
;DOEDSBO;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false
;EFTERGIVELSE;false;true;true;true;true;true;true;true;true;true;true;true;false;false;true;false;false;true;true;false;true;true;true;false;true;false;false;true;true;true;true;true;true;true;false;false;false;true;false;false;true;true;true;false;false;false;false;false;false;false;false;true;false;true
;GAELDSSANERING;false;false;false;false;false;false;true;true;false;false;false;true;false;false;false;false;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;true;false;false
;TVANGSOPLOESNING;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false;true;true;false;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;true;false;false
;INDGIVELSE_AF_KONKURSBEGAERING;false;false;false;false;false;false;false;false;false;false;false;true;false;true;true;true;false;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;true;true;true;false;true;false;false;false;false;false;false;false;false;false;true;false;false
;KONKURS_PERSONLIG;false;false;false;false;false;false;true;true;false;false;false;true;true;true;false;false;true;false;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;true;false;false
;KONKURS_SELSKABER;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false;true;false;false;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false
;REKONSTRUKTION;false;false;false;false;false;false;false;false;false;false;false;true;false;false;true;true;true;true;true;false;true;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;true;false;false
;KUNDEMOEDE;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
;FRIAFDR;false;true;true;true;true;false;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false
;KULANCE;false;true;true;true;true;false;false;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false
;BOGÆLSA;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;true;true;false
;BOEFGSA;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;true;true;false
;BOFRIAK;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;true;true;false
;BOREKON;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;true;true;false
;TVUAFDR;false;true;true;true;true;false;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false
;TVAFPRO;false;true;true;true;true;false;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false
;SBTVAD;false;true;false;false;true;false;false;false;false;false;false;true;true;true;true;true;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false
