EFI Fordringstypekode;Fortrinsberettiget;DMIFordringTypeKategori;DMIFordringKlasse;Personskatter
AFGDÆKN;false;HF;3;false
AFTILLÆ;false;HF;3;false
BØADMIN;false;HF;3;false
BØASKAT;false;HF;3;false
BØBVMEA;false;HF;3;false
BØBØDIC;false;HF;3;false
BØBØKON;false;HF;3;false
BØDAGBØ;false;HF;3;false
BØFOLKE;false;HF;3;false
BØGRØNL;false;HF;3;false
BØNORDI;false;HF;3;false
BØPÅLAG;false;HF;3;false
BØPÅLVD;false;HF;3;false
BØSKATK;false;HF;3;false
BØTVPLL;false;HF;3;false
BØULOSH;false;HF;3;false
CFCIVIL;false;HF;3;false
CFOMKCK;false;HF;3;false
DAFRIAF;false;HF;3;false
DAGAVEA;false;HF;3;false
DAKAPIT;false;HF;3;false
DAKONTR;false;HF;3;false
DAKONTT;false;HF;3;false
DAOPHÆV;false;HF;3;false
DAPAFGI;false;HF;3;false
DAPAFGR;false;HF;3;false
DAPROCE;false;HF;3;false
DAREALR;false;HF;3;false
DAREGMK;false;HF;3;false
DARÅVEJ;false;HF;3;false
DASTEMP;false;HF;3;false
DATIMKØ;false;HF;3;false
DATINGL;false;HF;3;false
DAVÆGTA;false;HF;3;false
DBFOLKF;false;HF;3;false
DFAFFIS;false;HF;3;false
DFAFFØD;false;HF;3;false
DFAKTIE;false;HF;3;false
DFBØRMV;false;HF;3;false
DFDEGSO;false;HF;3;false
DFDGMMA;false;HF;3;false
DFDOMMA;false;HF;3;false
DFEFBNI;false;HF;3;false
DFEFMER;false;HF;3;false
DFERSTA;false;HF;3;false
DFFAKTV;false;HF;3;false
DFFMTDI;false;HF;3;false
DFFMUDL;false;HF;3;false
DFFMUPE;false;HF;3;false
DFFORBR;false;HF;3;false
DFFOUDL;false;HF;3;false
DFGAFLL;false;HF;3;false
DFGAFPL;false;HF;3;false
DFGTAOM;false;HF;3;false
DFGTAOU;false;HF;3;false
DFHUSLE;false;HF;3;false
DFINBIN;false;HF;3;false
DFINBEU;false;HF;3;false
DFINDFI;false;HF;3;false
DFKOMPG;false;HF;3;false
DFKONFI;false;HF;3;false
DFKVSUG;false;HF;3;false
DFMDEGS;false;HF;3;false
